CATEGORIA;REGIAO;GRUPO;ANO_MODELO;SEXO_CONDUTOR;FAIXA_ETARIA;IS_MEDIA_REAL;EXPOSTOS;PREMIO_MEDIO;FREQ_INCENDIO_ROUBO;INDENI_INCENDIO_ROUBO;FREQ_COLISAO;INDENI_COLI;FREQ_OUTRAS;INDEN_OUTRAS
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;23269;817;800;30;55214;39;230181;142;96666
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;22516;663;812;23;90446;42;331939;94;64692
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Feminino;Maior que 55 anos;21716;1040;751;24;71157;60;203796;172;94049
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Masculino;Entre 18 e 25 anos;22043;107;1070;5;3517;6;26108;12;8326
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Masculino;Entre 26 e 35 anos;23033;457;938;13;53610;28;199759;76;57247
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Masculino;Entre 36 e 45 anos;22423;536;855;27;59951;54;349826;122;71653
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Masculino;Entre 46 e 55 anos;22401;518;825;18;90714;31;326126;69;35157
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Masculino;Maior que 55 anos;21855;1113;742;40;57367;60;357622;127;72650
Passeio nacional;MG - Vale do Aço-Norte-Vale Jequitinhonha;FIAT PALIO 1.0;Todos;Feminino;Entre 18 e 25 anos;25298;10;1132;0;0;1;7197;0;0
Passeio nacional;MG - Vale do Aço-Norte-Vale Jequitinhonha;FIAT PALIO 1.0;Todos;Feminino;Entre 26 e 35 anos;22964;139;838;11;8431;9;19649;26;39871
Passeio nacional;MG - Vale do Aço-Norte-Vale Jequitinhonha;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;22633;234;773;5;49266;12;115379;29;16773
Passeio nacional;MG - Vale do Aço-Norte-Vale Jequitinhonha;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;22189;199;742;4;36530;12;47763;31;11637
Passeio nacional;MG - Vale do Aço-Norte-Vale Jequitinhonha;FIAT PALIO 1.0;Todos;Feminino;Maior que 55 anos;22149;276;716;6;3770;18;201474;49;24491
Passeio nacional;MG - Vale do Aço-Norte-Vale Jequitinhonha;FIAT PALIO 1.0;Todos;Masculino;Entre 18 e 25 anos;19741;15;1167;0;0;1;13810;1;994
Passeio nacional;MG - Vale do Aço-Norte-Vale Jequitinhonha;FIAT PALIO 1.0;Todos;Masculino;Entre 26 e 35 anos;22599;128;918;3;2322;3;18976;17;9236
Passeio nacional;MG - Vale do Aço-Norte-Vale Jequitinhonha;FIAT PALIO 1.0;Todos;Masculino;Entre 36 e 45 anos;22366;194;868;4;2476;20;116907;54;49090
Passeio nacional;MG - Vale do Aço-Norte-Vale Jequitinhonha;FIAT PALIO 1.0;Todos;Masculino;Entre 46 e 55 anos;21531;152;848;5;2541;10;40191;22;10922
Passeio nacional;MG - Vale do Aço-Norte-Vale Jequitinhonha;FIAT PALIO 1.0;Todos;Masculino;Maior que 55 anos;21847;374;748;5;29494;16;146806;35;24823
Passeio nacional;RJ - Interior;FIAT PALIO 1.0;Todos;Feminino;Entre 18 e 25 anos;21286;35;1159;0;0;2;4168;7;2140
Passeio nacional;RJ - Interior;FIAT PALIO 1.0;Todos;Feminino;Entre 26 e 35 anos;23164;404;978;11;53961;19;147227;138;80867
Passeio nacional;RJ - Interior;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;22792;539;913;25;79602;14;135623;133;72625
Passeio nacional;RJ - Interior;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;22479;508;899;22;30715;14;82795;135;70742
Passeio nacional;RJ - Interior;FIAT PALIO 1.0;Todos;Feminino;Maior que 55 anos;21979;771;837;26;46228;19;179774;233;109981
Passeio nacional;RJ - Interior;FIAT PALIO 1.0;Todos;Masculino;Entre 18 e 25 anos;21083;50;1310;2;1006;3;30863;15;4388
Passeio nacional;RJ - Interior;FIAT PALIO 1.0;Todos;Masculino;Entre 26 e 35 anos;21941;412;1090;10;125993;14;119911;110;42385
Passeio nacional;RJ - Interior;FIAT PALIO 1.0;Todos;Masculino;Entre 36 e 45 anos;21601;576;943;17;91536;20;164318;136;68796
Passeio nacional;RJ - Interior;FIAT PALIO 1.0;Todos;Masculino;Entre 46 e 55 anos;21626;461;904;17;34866;21;171256;119;58779
Passeio nacional;RJ - Interior;FIAT PALIO 1.0;Todos;Masculino;Maior que 55 anos;21283;1184;825;42;71196;33;206134;218;146492
Passeio nacional;RJ - Met. do Rio de Janeiro;FIAT PALIO 1.0;Todos;Feminino;Entre 18 e 25 anos;22285;63;1825;3;35501;0;0;26;27918
Passeio nacional;RJ - Met. do Rio de Janeiro;FIAT PALIO 1.0;Todos;Feminino;Entre 26 e 35 anos;23412;686;1410;32;192044;27;277855;224;122814
Passeio nacional;RJ - Met. do Rio de Janeiro;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;22531;1238;1297;78;498864;24;149381;463;246175
Passeio nacional;RJ - Met. do Rio de Janeiro;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;21291;1143;1181;91;258878;33;236644;461;153564
Passeio nacional;RJ - Met. do Rio de Janeiro;FIAT PALIO 1.0;Todos;Feminino;Maior que 55 anos;20304;2177;995;221;368554;49;294994;1001;281301
Passeio nacional;RJ - Met. do Rio de Janeiro;FIAT PALIO 1.0;Todos;Masculino;Entre 18 e 25 anos;21325;97;1580;5;48729;7;99685;16;2192
Passeio nacional;RJ - Met. do Rio de Janeiro;FIAT PALIO 1.0;Todos;Masculino;Entre 26 e 35 anos;21875;624;1424;27;112850;25;207687;238;118839
Passeio nacional;RJ - Met. do Rio de Janeiro;FIAT PALIO 1.0;Todos;Masculino;Entre 36 e 45 anos;21487;995;1285;42;435904;32;280019;376;250494
Passeio nacional;RJ - Met. do Rio de Janeiro;FIAT PALIO 1.0;Todos;Masculino;Entre 46 e 55 anos;20120;1019;1175;43;169893;21;172233;296;149541
Passeio nacional;RJ - Met. do Rio de Janeiro;FIAT PALIO 1.0;Todos;Masculino;Maior que 55 anos;19788;2762;1063;160;364969;43;437272;706;275794
Passeio nacional;SP - Litoral Norte e Baixada Santista;FIAT PALIO 1.0;Todos;Feminino;Entre 18 e 25 anos;16479;21;1524;2;1016;1;6602;6;985
Passeio nacional;SP - Litoral Norte e Baixada Santista;FIAT PALIO 1.0;Todos;Feminino;Entre 26 e 35 anos;22351;174;1049;2;1002;9;53114;92;16534
Passeio nacional;SP - Litoral Norte e Baixada Santista;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;21952;217;1107;0;0;6;68413;169;45934
Passeio nacional;SP - Litoral Norte e Baixada Santista;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;20149;182;984;2;11619;3;9044;142;32369
Passeio nacional;SP - Litoral Norte e Baixada Santista;FIAT PALIO 1.0;Todos;Feminino;Maior que 55 anos;20619;314;850;6;64895;9;75694;331;68247
Passeio nacional;SP - Litoral Norte e Baixada Santista;FIAT PALIO 1.0;Todos;Masculino;Entre 18 e 25 anos;15213;20;1257;0;0;2;12565;10;6031
Passeio nacional;SP - Litoral Norte e Baixada Santista;FIAT PALIO 1.0;Todos;Masculino;Entre 26 e 35 anos;19473;165;1132;7;75242;8;76144;99;41498
Passeio nacional;SP - Litoral Norte e Baixada Santista;FIAT PALIO 1.0;Todos;Masculino;Entre 36 e 45 anos;21102;229;1028;6;28049;12;215840;140;68905
